Level_XBXXZ	Name_XBXXZ	Iron_XBXXZ	Wood_XBXXZ	Pill_XBXXZ	show_XBXXZ	personpercent100_XBXXZ	personnum100_XBXXZ	personpercent1000_XBXXZ	personnum1000_XBXXZ	personpercent6000_XBXXZ	personnum6000_XBXXZ	persons_XBXXZ
92	92级洗髓池	135000	108000	173400	0.101	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;
93	93级洗髓池	136800	109440	175800	0.102	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;
94	94级洗髓池	138600	110880	178200	0.103	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;
95	95级洗髓池	140400	112320	180600	0.104	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;
96	96级洗髓池	142200	113760	183000	0.105	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;
97	97级洗髓池	144000	115200	185400	0.106	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;
98	98级洗髓池	145800	116640	187800	0.107	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;
99	99级洗髓池	147600	118080	190200	0.108	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;
100	100级洗髓池	150300	120240	193800	0.109	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;
101	101级洗髓池	153000	122400	197400	0.11	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;137,10;
102	102级洗髓池	155700	124560	201000	0.111	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;137,10;
103	103级洗髓池	158400	126720	204600	0.112	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;137,10;
104	104级洗髓池	161100	128880	208200	0.113	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;137,10;
105	105级洗髓池	163800	131040	211800	0.114	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;137,10;
106	106级洗髓池	166500	133200	215400	0.115	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;137,10;
107	107级洗髓池	169200	135360	219000	0.116	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;137,10;
108	108级洗髓池	171900	137520	222600	0.117	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;137,10;
109	109级洗髓池	174600	139680	226200	0.118	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;137,10;
110	110级洗髓池	177300	141840	229800	0.119	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;137,10;
111	111级洗髓池	180000	144000	233400	0.12	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;131,10;134,10;137,10;
112	112级洗髓池	182700	146160	237000	0.121	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;131,10;134,10;137,10;
113	113级洗髓池	185400	148320	240600	0.122	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;131,10;134,10;137,10;
114	114级洗髓池	188100	150480	244200	0.123	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;131,10;134,10;137,10;
115	115级洗髓池	190800	152640	247800	0.124	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;131,10;134,10;137,10;
116	116级洗髓池	193500	154800	251400	0.125	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;131,10;134,10;137,10;
117	117级洗髓池	196200	156960	255000	0.126	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;131,10;134,10;137,10;
118	118级洗髓池	198900	159120	258600	0.127	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;131,10;134,10;137,10;
119	119级洗髓池	201600	161280	262200	0.128	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;131,10;134,10;137,10;
120	120级洗髓池	204300	163440	265800	0.129	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;131,10;134,10;137,10;140,10;143,10;
121	121级洗髓池	207000	165600	269400	0.13	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;131,10;134,10;137,10;140,10;143,10;
122	122级洗髓池	209700	167760	273000	0.131	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;131,10;134,10;137,10;140,10;143,10;
123	123级洗髓池	212400	169920	276600	0.132	300	1	1000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;6,10;7,10;16,10;17,10;36,10;37,10;46,10;47,10;86,10;87,10;96,10;97,10;117,10;126,10;127,10;8,10;9,10;18,10;19,10;38,10;39,10;28,10;29,10;48,10;49,10;88,10;89,10;98,10;99,10;108,10;109,10;118,10;119,10;128,10;129,10;10,10;20,10;30,10;40,10;50,10;90,10;100,10;110,10;120,10;130,10;51,10;54,10;57,10;63,10;131,10;134,10;137,10;140,10;143,10;
